domain,value
adult,3.7222997236041
adult,3.7222997236041
adult,3.43461765115232
adult,3.49356621044643
adult,3.7222997236041
adult,3.43461765115232
adult,3.94544327491831
adult,3.84008275926049
adult,3.7222997236041
adult,3.33941553061918
adult,3.33941553061918
adult,2.99230483505768
adult,3.43461765115232
adult,3.33941553061918
adult,2.99230483505768
adult,4.55668495546666
adult,3.7222997236041
adult,3.58876833097958
adult,3.58876833097958
adult,3.43461765115232
adult,3.7222997236041
adult,3.7222997236041
adult,3.33941553061918
adult,3.84008275926049
adult,3.7222997236041
adult,2.80998327826372
adult,3.49356621044643
adult,3.62709760307096
adult,3.7222997236041
adult,3.62709760307096
adult,3.58876833097958
adult,3.15709397382522
adult,3.58876833097958
adult,3.43461765115232
adult,3.62709760307096
adult,3.84008275926049
adult,3.49356621044643
adult,3.43461765115232
adult,4.08668132622093
adult,3.7222997236041
adult,3.14645551488493
adult,3.43461765115232
adult,3.33941553061918
adult,3.85024115438517
adult,3.33941553061918
adult,3.74488063872734
adult,2.99230483505768
adult,3.7222997236041
adult,3.43461765115232
adult,3.62709760307096
adult,4.03256271117912
adult,4.41106348872253
adult,3.84008275926049
adult,4.07971643216824
adult,4.12776483171227
adult,3.94544327491831
adult,3.33941553061918
adult,3.94544327491831
adult,3.7300063822822
adult,4.04075345472264
adult,3.84008275926049
adult,3.49356621044643
adult,3.84008275926049
adult,3.58876833097958
adult,4.08668132622093
adult,3.7222997236041
adult,3.43461765115232
adult,3.27998690750946
adult,3.62709760307096
adult,3.25229609435837
adult,3.7222997236041
adult,3.94544327491831
adult,3.27998690750946
adult,4.12776483171227
adult,3.43461765115232
adult,3.84008275926049
adult,3.50313045882367
adult,3.84008275926049
adult,3.84008275926049
adult,3.84008275926049
adult,3.86353777490672
adult,4.20758052038126
adult,3.43461765115232
adult,3.62709760307096
adult,3.7222997236041
adult,4.18199150602525
adult,3.33941553061918
adult,3.94544327491831
adult,3.43461765115232
adult,3.94544327491831
adult,3.84008275926049
business,2.99230483505646
business,3.14645551488444
business,2.99230483505646
business,3.8400827592609
business,3.68545201561641
business,3.94555133419042
business,3.8400827592609
business,3.74488063872805
business,4.26900288301429
business,4.12776483171214
business,3.74488063872805
business,4.1126054188521
business,4.04075345472325
business,3.8400827592609
business,3.74488063872805
business,3.43461765115381
business,3.72229972360317
business,3.98132081056344
business,3.94544327491787
business,4.03256271117924
business,3.72229972360317
business,4.08668132622145
business,3.90859556693162
business,3.62709760307019
business,3.62709760307019
business,3.90859556693162
business,3.59844063862906
business,3.85024115438493
business,4.35090838302603
business,3.2799869075095
business,4.04075345472325
business,3.49356621044681
business,3.94544327491787
business,3.730006382282
business,3.90859556693162
business,3.99383609975586
business,4.20780753938655
business,3.98132081056344
business,3.94544327491787
business,3.72229972360317
business,3.43461765115381
business,4.03256271117924
business,4.03256271117924
business,3.58876833097969
business,4.18671339100676
business,3.72229972360317
business,3.43461765115381
business,3.57585570245434
business,3.8400827592609
business,3.8400827592609
business,3.49356621044681
business,3.8400827592609
business,3.72229972360317
business,3.94544327491787
business,3.58876833097969
business,3.43461765115381
business,3.8400827592609
business,3.72229972360317
business,4.04075345472325
business,3.49356621044681
business,3.62709760307019
business,4.41544690416433
business,3.72229972360317
business,3.72229972360317
business,4.12776483171214
business,3.43461765115381
business,3.8400827592609
business,4.12776483171214
business,4.08668132622145
business,4.0797164321686
business,3.68645346445424
business,4.04075345472325
business,3.85024115438493
business,3.50313045882446
business,3.33941553061753
